股票代码,股票简称,币种,报告期间,数据类型,总资产,总负债,净利润,营业总收入,营业总成本,研发费用,利润总额,所得税,研发投入占比,毛利率,总资产周转率
MASK,三易科技,USD,2024-06-30,A,3860558,1124040,1548347,859344,30896,191504,817562,114958,22.28490569550727,96.40469939861104,0.2225958009178984
MASK,三易科技,USD,2023-06-30,A,2009318,812866,996157,37130,7338,86392,15789,1767,232.6743872879073,80.23700511715593,0.01847890677334299
MASK,三易科技,USD,2022-06-30,A,1794525,1496216,439403,1296377,423624,112549,488710,49307,8.681810923828486,67.32246869544893,0.7224067650213845
SCAG,司凯奇,USD,2025-06-30,A,26483763,27427061,-12943787,11122585,11835751,1545278,-13065903,0,13.89315523324839,-6.411872779574172,0.4199775160350136
SCAG,司凯奇,USD,2024-06-30,A,10557206,32249952,-7665829,6111141,5574685,1698494,-5980776,0,27.79340224681446,8.778327975086812,0.5788596907174114
SCAG,司凯奇,USD,2023-06-30,A,8365391,26920724,-9614387,437970,795286,2297474,-6618209,0,524.5733726054297,-81.58458341895563,0.05235499452446395
SCAG,司凯奇,USD,2022-06-30,A,6674111,16888637,-5584958,278660,651078,1942902,-5263084,0,697.2303165147491,-133.6460202397187,0.04175237720799069
AGMH,安高盟,USD,2024-12-31,A,61368088,39502672,3119095,32044575,25188174,,5738528,2330891,,21.39644854082165,0.5221700079689626
AGMH,安高盟,USD,2023-12-31,A,97547345,78114845,-7439280,68758258,65605382,0,15509062,4093157,,4.585450666885714,0.7048706246182302
AGMH,安高盟,USD,2022-12-31,A,125230014,94786304,11475639,203106017,160839953,0,12193261,3437982,,20.80985321079877,1.621863725097084
AGMH,安高盟,USD,2021-12-31,A,88020889,62967113,3551695,36709931,30112363,36317,4957854,1406159,0.09892963296498705,17.97216126611625,0.4170593073650961
ONEG,一建筑,USD,2025-03-31,A,49845000,37704000,898000,53205000,49289000,,1139000,241000,,7.360210506531341,1.067408967800181
ONEG,一建筑,USD,2024-03-31,A,43637000,38008000,1769000,63463000,59020000,,1910000,141000,,7.000929675558987,1.454339207553223
ONEG,一建筑,USD,2023-03-31,A,32300000,28468000,1670000,54493000,51667000,,2032000,362000,,5.18598719101536,1.687089783281734
ONEG,一建筑,USD,2022-03-31,A,43637000,38008000,1769000,63463000,59020000,,1910000,141000,,7.000929675558987,1.454339207553223
WYHG,荣业食品,USD,2025-09-30,Q,208448596,42787808,-46235,32111266,24298015,1093426,75452,121687,3.405116447292984,24.33180616422909,0.1540488476113315
WYHG,荣业食品,USD,2025-06-30,Q,206261344,41580945,1972272,35497287,25301830,1082341,1972759,487,3.04908090581683,28.72179217527244,0.1720985925506235
WYHG,荣业食品,USD,2025-03-31,Q,201701531,41119914,2819438,34616047,23457422,968643,3501269,681831,2.798248453961251,32.23541093528097,0.1716201499729816
WYHG,荣业食品,USD,2024-12-31,Q,193491088,37746096,667447.985892,35824219.340731,25671715.868985,1854611.917639,606204.222375,-61243.763517,5.176977898665234,28.33977587950654,0.1851466117174916
WYHG,荣业食品,USD,2024-09-30,Q,202328525.127736,46107886.067261,2066782.58217,37978094.257607,28091524.441394,1058427.51468,2450597.117364,383814.535194,2.78694214486025,26.03229574699558,0.187705091180941
WYHG,荣业食品,USD,2024-06-30,Q,,,,,,,,,,,
GTEC,格陵兰科技,USD,2025-09-30,Q,123425269,53573282,5732522,23401597,15828001,560668,7505987,920297,2.395853582129459,32.36358612619472,0.1896013449239475
GTEC,格陵兰科技,USD,2025-06-30,Q,123569638,60343462,-3225268,21719786,15969005,443720,-1910852,848920,2.042929888904062,26.47715313585502,0.1757696012672628
GTEC,格陵兰科技,USD,2025-03-31,Q,118649597,60557999,4003783,21677564,15016614,81457,5441111,878275,0.3757663914635427,30.72739169401137,0.1827023820401177
GTEC,格陵兰科技,USD,2024-12-31,Q,115576195,62307307,7598250,19369717,14223560,387634,6026138,673708,2.001237292212374,26.56805465975574,0.1675926171475017
GTEC,格陵兰科技,USD,2024-09-30,Q,127507418,66211531,-684391,18834093,13868406,437978,703543,344250,2.325453102519988,26.36541616312503,0.1477097826575078
GTEC,格陵兰科技,USD,2024-06-30,Q,,,,,,,,,,,
JFU,玖富,USD,2024-12-31,A,4123036000,466467000,49984000,309974000,107848000,,26982000,13982000,,65.20740449198965,0.07518100739358084
JFU,玖富,USD,2023-12-31,A,4039245000,466728000,-140190000,412449000,115179000,,-151884000,7745000,,72.07436555792353,0.1021104191501134
JFU,玖富,USD,2022-12-31,A,4310605000,599629000,-594741000,561667000,115442000,,-602746000,11623000,,79.44654038780986,0.1302988791596539
JFU,玖富,USD,2021-12-31,A,5049610000,859665000,-234908000,761451000,106182000,,-201568000,26735000,,86.05530756411115,0.1507940217165286
SELX,Semilux International Ltd,USD,2024-12-31,A,315164000,269432000,-120614000,120228000,148706000,35033000,-152717000,-771000,29.13880294107862,-23.68666200884985,0.3814775799266414
SELX,Semilux International Ltd,USD,2023-12-31,A,448923000,166054000,-50026000,32840000,48049000,24195000,-62010000,1019000,73.6753958587089,-46.31242387332522,0.07315285694874177
SELX,Semilux International Ltd,USD,2022-12-31,A,547057000,201159000,14829000,102438000,56525000,26845000,21452000,6429000,26.20609539428728,44.82028153614869,0.1872528822407903
SELX,Semilux International Ltd,USD,2021-12-31,A,561303000,220342000,-11444000,126133000,69310000,40921000,-29213000,1298000,32.4427390135809,45.05006619996353,0.2247146371923898
CANG,灿谷,USD,2025-06-30,Q,8045219206,3339411026,-2116011661,1001766873,993290554,,-1301865363,-11326299,,0.8461368835860875,0.1245170389208162
CANG,灿谷,USD,2025-03-31,Q,7055060830,3187747227,-207355523,1053883166,955091082,324991,-204226555,3128968,0.03083747900002039,9.374102100422013,0.1493797419178312
CANG,灿谷,USD,2024-12-31,Q,5969323559,1882693687,55886298,668032884,550534892,1274152,56056263,169965,0.1907319281007131,17.58865391422857,0.1119109857921508
CANG,灿谷,USD,2024-09-30,Q,4527289141,555746847,67879125,26953433,23260308,1424250,64640162,-3238963,5.284113530176286,13.70187241083538,0.005953547953433001
CANG,灿谷,USD,2024-06-30,Q,4564536565,617498063,86022837,0,0,1670526,2580377,-7651029,,,
YMT,一亩田,USD,2025-03-31,Q,57133000,1526047000,-2635000,34282000,7155000,6209000,-2904000,0,18.11154541742022,79.12898897380549,0.6000385066423958
DTSS,数海信息,USD,2025-09-30,Q,7691360,4677908,-201026,13813551,12644459,512924,-201159,0,3.713194384268028,8.463370497564313,1.795982895092676
DTSS,数海信息,USD,2025-06-30,Q,6735881,3793686,-204429,19725345,18193620,389983,-198053,6596,1.97706554688904,7.765263421248146,2.928398675689194
DTSS,数海信息,USD,2025-03-31,Q,6154373,3321879,-1782998,10353977,10056187,347532,-1783092,0,3.356507359442657,2.876092925452703,1.682377229979398
DTSS,数海信息,USD,2024-12-31,Q,5903533,2677125,-1136278,20456404,20038952,74402,-1127716,0,0.3637100636064873,2.040691022723251,3.465112162496593
DTSS,数海信息,USD,2024-09-30,Q,7956650,3891921,-1961989,21081094,20884113,103079,-1970669,0,0.4889641875322031,0.9343964786647221,2.649493693954114
DTSS,数海信息,USD,2024-06-30,Q,,,,,,,,,,,
RITR,Reitar Logtech Holdings Ltd-A,USD,2025-03-31,A,333819187,176434734,7869531,378169751,318110790,,8872039,6431499,,15.88148201731767,1.132858043297553
RITR,Reitar Logtech Holdings Ltd-A,USD,2024-03-31,A,242824451,144765155,19759446,251979875,187920609,,25434002,5806012,,25.42237390982117,1.037703880158263
RITR,Reitar Logtech Holdings Ltd-A,USD,2023-03-31,A,203683169,125251863,63712561,84485339,60078321,,9455305,1994996,,28.8890573073276,0.4147880230594802
RITR,Reitar Logtech Holdings Ltd-A,USD,2022-03-31,A,42090325,34585904,19164696,144151979,107224193,,23327942,4163246,,25.61725912899191,3.424824564790127
RITR,Reitar Logtech Holdings Ltd-A,USD,2021-03-31,A,,,,,,,,,,,
MIMI,Mint Incorporation Ltd-A,USD,2025-03-31,A,7575555,1776087,-1461116,3266390,2540218,,-1635736,-174620,,22.23163798566613,0.4311750096197572
MIMI,Mint Incorporation Ltd-A,USD,2024-03-31,A,2111469,913749,783438,4382996,2821615,,912370,128932,,35.62360084289377,2.075804096579206
MIMI,Mint Incorporation Ltd-A,USD,2023-03-31,A,958001,548899,819424,2673478,1409697,,949649,130225,,47.27104543220479,2.790683934567918
MIMI,Mint Incorporation Ltd-A,USD,2022-03-31,A,416517,277844,256577,2118188,1499196,,265058,8481,,29.22271299809082,5.085477903662996
CCM,泰和诚医疗,USD,2024-12-31,A,6726388000,5108639000,-308243000,383956000,463118000,,-669580000,-17505000,,-20.61746658471283,0.05708204760117912
CCM,泰和诚医疗,USD,2023-12-31,A,6053943000,4306956000,-297658000,537402000,614010000,,-555594000,-24573000,,-14.25525025958221,0.08876892299778838
CCM,泰和诚医疗,USD,2022-12-31,A,6004934000,3989277000,-489661000,472085000,624494000,,-839896000,-70906000,,-32.28422847580414,0.07861618462417738
CCM,泰和诚医疗,USD,2021-12-31,A,6229951000,3486230000,-271427000,485633000,542530000,,-529237000,-6565000,,-11.71604895054496,0.07795133541178735
BTOG,Bit Origin Ltd-A,USD,2024-06-30,A,6684745,5775162,-17531647,2888482,3833684,,-18284958,0,,-32.72313969759895,0.4321005513299311
BTOG,Bit Origin Ltd-A,USD,2023-06-30,A,13335828,3074757,-28216352,6261091,10826620,,-28216352,0,,-72.91906474446705,0.4694939826758414
BTOG,Bit Origin Ltd-A,USD,2022-06-30,A,34954924,299968,3239390,192351,403384,,-5342676,0,,-109.7124527556394,0.005502829873124599
BTOG,Bit Origin Ltd-A,USD,2021-06-30,A,40875828,42495816,-45609519,0,0,,-3640018,0,,,
KXIN,开心汽车,USD,2024-12-31,A,24645000,11471000,-40972000,0,0,,-41911000,-931000,,,
KXIN,开心汽车,USD,2023-12-31,A,67633000,18615000,-53563000,31535000,31193000,,-53782000,-228000,,1.084509275408277,0.4662664675528219
KXIN,开心汽车,USD,2022-12-31,A,55682000,20179000,-84706000,82840000,82194000,,-84545000,74000,,0.7798165137614679,1.487733917603534
KXIN,开心汽车,USD,2021-12-31,A,74160000,36081000,-196579000,253840000,248583000,,-196657000,-729000,,2.070989599747873,3.422869471413161
CDTG,城道通环保科技,USD,2024-12-31,A,89360588,51922531,1453191,29765205,18518728,61786,1868325,462043,0.2075779420971567,37.78397293080965,0.3330909707084739
CDTG,城道通环保科技,USD,2023-12-31,A,72791561,40705318,7417706,34209919,22825033,80948,8427934,1403880,0.2366214313456866,33.27948832617815,0.4699709489675596
CDTG,城道通环保科技,USD,2022-12-31,A,53910727,28350816,5782018,28849362,18596207,112668,6395752,1152963,0.3905389658183775,35.54031801465835,0.5351321268585378
CDTG,城道通环保科技,USD,2021-12-31,A,41253446,18861212,6775739,23556820,15062490,136690,7786070,1207810,0.5802565881133361,36.05889929116069,0.5710267210162273
HUDI,华迪国际,USD,2024-09-30,A,103594531,25277092,137422,74270429,66954594,2239220,-156215,-298610,3.014954982958292,9.850266247957178,0.7169338794535399
HUDI,华迪国际,USD,2023-09-30,A,103010786,28326976,3257722,84332300,71976696,2550777,3516111,220854,3.024673820114001,14.65109335331777,0.8186744638566296
HUDI,华迪国际,USD,2022-09-30,A,84636527,35002586,1924202,76366148,65230521,2330913,2121071,173017,3.052285680299077,14.58188908520042,0.9022835731433073
HUDI,华迪国际,USD,2021-09-30,A,100245863,48767449,2531475,70246611,58926675,2057547,2468045,-89000,2.929033829119529,16.11456529910033,0.7007432416437973
ELPW,亿珑能源,USD,2024-12-31,A,26631087,43081812,-30113504,386940,3849231,108863,-30113504,0,28.13433607277614,-894.7875639634052,0.01452963598519279
ELPW,亿珑能源,USD,2023-12-31,A,37503085,36524749,-7446001,3162739,7076786,873968,-7446001,0,27.63326344665178,-123.7549794655835,0.08433276889087925
